fluid,topo,case,Re,source,G,cF_meas,darcy_frac,A_used
sco2,Gyroid,17,27953.44812212647,,189.1167946098071,1534.5898692163148,0.0014904345862558183,0.0006491520000000001
sco2,Gyroid,18,33776.92482901029,,229.70688205480627,1502.9463519723042,0.0012597297314562875,0.0006491520000000001
sco2,Gyroid,19,40470.785884161385,,270.0367424627319,1471.0667066248839,0.0010743543893996352,0.0006491520000000001
sco2,Gyroid,20,10723.158498338023,,74.35964627877733,1657.6664052486055,0.0035892766641775677,0.0006491520000000001
sco2,Gyroid,21,16408.888539980642,,114.49877267526476,1550.7806005072787,0.0025099637294027505,0.0006491520000000001
sco2,Gyroid,22,21565.50944496435,,151.86897580646138,1521.4270218056004,0.0019477393539015656,0.0006491520000000001
sco2,Gyroid,23,26998.202217036996,,189.43647323922667,1517.6976885436275,0.0015602354977560654,0.0006491520000000001
sco2,Gyroid,24,32555.837426350336,,229.47778019218953,1493.7124805660728,0.0013149857793979618,0.0006491520000000001
sco2,Gyroid,25,11343.439477330809,,74.50456531243736,1669.3182895257548,0.0033700661158662026,0.0006491520000000001
sco2,Gyroid,26,17110.9104203654,,113.98940219347459,1534.7651074878293,0.002432292224156544,0.0006491520000000001
sco2,Gyroid,27,22915.228452629035,,151.67246704153663,1546.041943001776,0.0018040921879549558,0.0006491520000000001
sco2,Gyroid,28,28415.75672212657,,188.9479477150749,1567.461899788565,0.0014355168671969013,0.0006491520000000001
sco2,Gyroid,29,34442.675242328325,,229.71921767838083,1531.3321431634215,0.0012125375889338534,0.0006491520000000001
sco2,Gyroid,30,40527.55512963075,,269.65091038428255,1510.2992936797023,0.0010450110905911175,0.0006491520000000001
sco2,Gyroid,31,10901.740818677792,,74.20951151353678,1367.8153463372566,0.004275670191948506,0.0006491520000000001
sco2,Gyroid,32,16622.378436958326,,114.07005297727345,1498.0541207915192,0.0025647936409409155,0.0006491520000000001
sco2,Gyroid,33,21881.545182807695,,151.6620547891344,1512.6194344147125,0.0019308182135403334,0.0006491520000000001
sco2,Gyroid,34,27403.37915837935,,189.2272548769078,1519.4548354283754,0.0015354269134282958,0.0006491520000000001
sco2,Gyroid,35,33124.744252628705,,229.43889407560468,1508.525463845484,0.001279755715557385,0.0006491520000000001
sco2,Gyroid,36,39968.639106358074,,270.32338717734854,1482.7704526950479,0.0010792601698281716,0.0006491520000000001
sco2,Gyroid,37,10620.777013615836,,74.34153016774651,1564.4345538175469,0.0038388779227793257,0.0006491520000000001
sco2,Gyroid,38,16143.687222589433,,114.12803849398047,1518.9768129525728,0.0026043658243250986,0.0006491520000000001
sco2,Gyroid,39,21236.365054659735,,151.6962629120354,1527.9495512687945,0.0019694413206308627,0.0006491520000000001
sco2,Gyroid,40,27055.295010538728,,189.4602556853179,1537.603930133479,0.001536822473805262,0.0006491520000000001
sco2,Gyroid,41,10767.365062892093,,74.3092140367653,1491.5293668477907,0.003971175352631456,0.0006491520000000001
sco2,Gyroid,42,16371.424892759285,,114.1032515383952,1520.907654447402,0.0025649782765334492,0.0006491520000000001
sco2,Gyroid,43,21620.76368748281,,151.25117075815834,1537.1196744132062,0.0019229754993564429,0.0006491520000000001
sco2,Gyroid,44,27005.90010217384,,189.25907167569662,1549.44688730473,0.0015278791217572891,0.0006491520000000001
